"filename","content"
"2401.07294v4.pdf","Thus, the results of the MLMM applied to this simple simulation would suggest the following implications for analysis of RCTs in practice. Covariate adjustment can provide

substantial benefits for precision (lower SEs), increased power, and lower overall error. These benefits are strongest when the correlation between the covariate and the outcome are strong and these benefits do not come at the cost of other metrics. Thus, when a predictive covariate is available, including it in the analysis either as a main effect or in an interaction with the treatment variable is generally a recommended strategy. While these are not new insights, the application of the MLMM provides in our view a succinct and interpretable method to demonstrate these findings. 5"
"2401.07294v4.pdf","Given that wide 95% empirical Bayes ranges remain in the MLMMs for power and RMSE/SE including all two-way interaction terms, should we continue the analysis and probe three-way interactions to better understand under which fine-grained combinations of conditions covariate adjustment affects model performance? This question raises the inherent trade off between flexibility and interpretability. While significant three-way interactions undoubtedly exist in this simulation, the more flexible the model becomes, the more difficult it can be to make recommendations for practice because the results become highly sensitive to the specific conditions. One benefit of the MLMM approach is that in providing 95% empirical Bayes ranges, simulation studies can clearly demonstrate the consistency of results across a range of settings even with higher-order interactions omitted. Thus, even if three-way interactions exist, the fact that the 95% empirical Bayes ranges for the RMSE and the true SE do not include 0 when the correlation between covariate and outcome is 0.7 suggests that so long as this correlation is strong, gains to precision are essentially guaranteed across a wide range of simulation conditions."
"2401.07294v4.pdf","4 Discussion

Regression metamodels of Monte Carlo simulation results have long history, but as of yet have not been widely advocated in contemporary simulation studies or textbooks. Among the

5 To compare the 'adjusted' and 'interacted' estimators, we could simply change the reference group in our models and plots to allow for a direct comparison.

many varieties of metamodels, the multilevel metamodel (MLMM) appears to be extremely rare, as we were able to identify only three extant examples in the empirical literature. In this study, we demonstrate the affordances of the metamodel in general and of the MLMM in particular as a powerful tool for the simulation practitioner."
"2401.07294v4.pdf","Compared to the OLS metamodel, the MLMM better matches the data-generating process of a simulation by accounting for the dependence of results arising from models fit to the same data set or drawn from the same simulation conditions. Furthermore, random slope MLMMs allow for estimates of the generalizability of effects beyond the tested simulation conditions by providing prediction intervals or ranges of empirical Bayes estimates. Demonstrating that simulation results are consistent across a wide range of settings is essential for simulation research that strives to influence statistical practice and data analysis more broadly, because empirical applications are likely to differ in important ways from any particular set of simulation conditions (Skrondal, 2000)."
"2401.07294v4.pdf","While the MLMM provides many benefits, how does it compare to other approaches to addressing clustered or dependent data, such as aggregation, fixed effects, or cluster robust SEs? While these three alternative approaches have many merits in other applications, we argue that the MLMM is preferable in the simulation case for several reasons. First, both fixed effects and cluster robust SEs are not well equipped to handle more than two levels of hierarchy, and the default in many simulation studies will be three, with results nested within data sets nested within simulation conditions. Second, while fixed effects provide unbiased estimates of within-cluster effects in contrast to random effects models that may suffer from cluster level confounding, this is generally not an issue in simulation because the data are (or can be designed to be) perfectly balanced in that there is no between-simulation condition variation in the proportion of data sets analyzed with a given estimator (i.e., the between effect is 0) (Curran & Bauer, 2011, p. 597). In other words, a typical rationale for fixed effects approaches to address potential confounding does not apply here. Third, fixed effect models provide inference only for the clusters in the sample and provide no analog for the"
"2401.07294v4.pdf","random slope variance parameter or prediction interval, thus giving up one powerful measure of generalizability. Similarly, models of results aggregated across simulation conditions cannot include random slope terms because the models are unidentified because they perfectly fit the data."
"2401.07294v4.pdf","Despite these benefits, the MLMM has several limitations that bear mention:
1. As a model-based approach to simulation analysis, inferences based on the model results depend on the tenability of the model assumptions, such as the normality of the random effects (e.g., Figure 2). However, multilevel models in general are robust to violations of normality (Bell et al., 2019; Knief & Forstmeier, 2021; Schielzeth et al., 2020).
2. When simulations are very large, MLMMs of individual results may become impractical due to performance constraints, especially when using non-linear models. For example, we used multilevel linear probability models for the binary power and false positive responses to ease interpretation. While multilevel logit or probit models are also applicable, they are substantially more computationally intensive."
"2401.07294v4.pdf","Despite these benefits, the MLMM has several limitations that bear mention: (cd.)
3. Because conclusions are based on statistical tests in the MLMM, questionable research practices such as p-hacking may become an issue. While such concerns are well understood in primary research, their application to methodological studies such as Monte Carlo simulation is less prevalent (Boulesteix et al., 2020; Pawel et al., 2024). This issue is particularly relevant in simulation studies because the analyst can simply make the sample size larger by running additional simulations to reduce Monte Carlo SEs. In other words, 'simulations are doomed to succeed' (Miratrix & Pustejovsky, 2023, Chapter 21). Promising solutions to this issue include preregistration of simulation studies, which may include the relevant MLMM as part of an analysis plan (Siepe et al., 2024).
4. If many tests are run, the analysis may suffer from multiple comparisons issues. While some research suggests that the empirical Bayes estimates used in this study are"
"2401.07294v4.pdf","Despite these benefits, the MLMM has several limitations that bear mention: (cd.)
relatively robust to multiple comparisons (Sales et al., 2021), alternatives in the MLMM case could include replicating the simulation analysis with a different random number seed for cross validation, or the use of fully Bayesian multilevel modeling approaches (B¨ urkner, 2017).
5. The use of the MLMM requires a model-building process. While our case study was relatively simple in its design and the hypotheses were confirmatory, other simulations may necessitate more complex model-building strategies when the goal is to discover flexible relationships between simulation design covariates and performance outcomes. As such, machine learning or model selection methods may be useful when the relevant relationships are unknown. Bayesian model averaging may also provided an attractive strategy (Wasserman, 2000)."
"2401.07294v4.pdf","Despite these benefits, the MLMM has several limitations that bear mention: (cd.)
6. The arguments for the application of the MLMM as a powerful tool for simulation analysis do not encompass every simulation possibility, and thus the three-level MLMM of individual results will not always be the most appropriate tool for a given use case. For example, the presentation and worked example of this study emphasizes differences in the performance of estimators applied to the same data set. Performance differences are not of primary importance for example when evaluating, for example, a single estimator, in which case analysis of marginal performance averaged across simulation conditions is likely sufficient."
"2401.07294v4.pdf","In sum, the MLMM is both a powerful tool for analyzing simulation studies and easy to apply to simulation data. Simulation practitioners would be well served by exploring its potential to answer their own research questions and provide more interpretable, precise, and generalizable results to improve statistical practice in a range of applied settings."
"2401.07294v4.pdf","References

Abadie, A., Athey, S., Imbens, G. W., & Wooldridge, J. M. (2020). Sampling-based versus design-based uncertainty in regression analysis. Econometrica , 88 (1), 265-296.
Bates, D., M¨ achler, M., Bolker, B., & Walker, S. (2015). Fitting linear mixed-effects models using lme4. Journal of statistical software , 67 , 1-48.
Bell, A., Fairbrother, M., & Jones, K. (2019). Fixed and random effects models: Making an informed choice. Quality & Quantity , 53 , 1051-1074.
Binder, K. (2022). Monte carlo simulations in statistical physics. In Statistical and nonlinear physics (pp. 85-97). Springer.
Bonate, P. L. (2001). A brief introduction to monte carlo simulation. Clinical Pharmacokinetics , 40 , 15-22.
Borenstein, M., Hedges, L. V., Higgins, J. P., & Rothstein, H. R. (2009). Introduction to meta-analysis . John Wiley & Sons.
Boulesteix, A.-L., Hoffmann, S., Charlton, A., & Seibold, H. (2020). A replication crisis in methodological research? Significance , 17 (5), 18-21.
B¨ urkner, P.-C. (2017). brms: An R package for Bayesian multilevel models using Stan. Journal of Statistical Software , 80 , 1-28."
"2401.07294v4.pdf","(cd.)
Carsey, T. M., & Harden, J. J. (2013). Monte carlo simulation and resampling methods for social science . Sage Publications.
Chen, D.-G., & Chen, J. D. (2017). Monte-carlo simulation-based statistical modeling . Springer.
Chopin, N., Papaspiliopoulos, O., et al. (2020). An introduction to sequential monte carlo (Vol. 4). Springer.
Curran, P. J., & Bauer, D. J. (2011). The disaggregation of within-person and between-person effects in longitudinal models of change. Annual Review of Psychology , 62 , 583-619.
do Amaral, J. V. S., Montevechi, J. A. B., de Carvalho Miranda, R., & de Sousa Junior, W. T. (2022). Metamodel-based simulation optimization: A systematic literature review. Simulation Modelling Practice and Theory , 114 , 102403.
Dunn, W. L., & Shultis, J. K. (2022). Exploring monte carlo methods . Elsevier.
Friedman, L. W. (2012). The simulation metamodel . Springer Science & Business Media.
Friedman, L. W., & Friedman, H. H. (1985). Validating the simulation metamodel: Some practical approaches. Simulation , 45 (3), 144-146."
"2401.07294v4.pdf","(cd.)
Friedman, L. W., & Pressman, I. (1988). The metamodel in simulation analysis: Can it be trusted? Journal of the Operational Research Society , 39 (10), 939-948.
Gentner, F. J. (1992). Microeconomic simulation output analysis using a two-way random effects metamodel . University of Michigan.
Gilbert, J. B. (2024a). Estimating treatment effects with the explanatory item response model. Journal of Research on Educational Effectiveness , 1-19.
Gilbert, J. B. (2024b). Modeling item-level heterogeneous treatment effects: A tutorial with the glmer function from the lme4 package in r. Behavior Research Methods , 56 (5), 5055-5067.
Giles, M. B. (2015). Multilevel monte carlo methods. Acta Numerica , 24 , 259-328.
Harrison, R. L. (2010). Introduction to monte carlo simulation. AIP conference proceedings , 1204 (1), 17-21.
Huang, F. L. (2018). Multilevel modeling myths. School Psychology Quarterly , 33 (3), 492."
"2401.07294v4.pdf","(cd.)
Hunter, K. B., Miratrix, L., & Porter, K. (2024). PUMP: Estimating power, minimum detectable effect size, and sample size when adjusting for multiple outcomes in multilevel experiments. Journal of Statistical Software , 108 , 1-43.
Kleijnen, J. P. (1981). Regression analysis for simulation practitioners. Journal of the Operational Research Society , 32 , 35-43.
Knief, U., & Forstmeier, W. (2021). Violating the normality assumption may be the lesser of two evils. Behavior Research Methods , 53 (6), 2576-2590.
Koller, M. (2016). Robustlmm: An r package for robust estimation of linear mixed-effects models. Journal of Statistical Software , 75 , 1-24.
Kroese, D. P., Taimre, T., & Botev, Z. I. (2013). Handbook of monte carlo methods . John Wiley & Sons.
Lee, J., Che, J., Rabe-Hesketh, S., Feller, A., & Miratrix, L. (2024). Improving the estimation of site-specific effects and their distribution in multisite trials. Journal of Educational and Behavioral Statistics , 10769986241254286.
Lin, W. (2013). Agnostic notes on regression adjustments to experimental data: Reexamining Freedman's critique."
"2401.07294v4.pdf","(cd.)
Miratrix, L. W. (2022). Using simulation to analyze interrupted time series designs. Evaluation Review , 46 (6), 750-778.
Miratrix, L. W., & Pustejovsky, J. E. (2023). Designing monte carlo simulations in R . https://jepusto.github.io/Designing-Simulations-in-R/
Miratrix, L. W., Weiss, M. J., & Henderson, B. (2021). An applied researcher's guide to estimating effects from multisite individually randomized trials: Estimands, estimators, and estimates. Journal of Research on Educational Effectiveness , 14 (1), 270-308.
Mooney, C. Z. (1997). Monte carlo simulation . Sage.
Morris, T. P., White, I. R., & Crowther, M. J. (2019). Using simulation studies to evaluate statistical methods. Statistics in Medicine , 38 (11), 2074-2102.
Murnane, R. J., & Willett, J. B. (2010). Methods matter: Improving causal inference in educational and social science research . Oxford University Press."
"2401.07294v4.pdf","(cd.)
Muth´ en, B. (2000). Methodological issues in random coefficient growth modeling using a latent variable framework: Applications to the development of heavy drinking ages 18-37. In Multivariate applications in substance use research (pp. 113-140). Psychology Press.
Papadopoulos, C. E., & Yeung, H. (2001). Uncertainty estimation and monte carlo simulation method. Flow Measurement and Instrumentation , 12 (4), 291-298.
Pashley, N. E., & Miratrix, L. W. (2022). Block what you can, except when you shouldn't. Journal of Educational and Behavioral Statistics , 47 (1), 69-100.
Pawel, S., Kook, L., & Reeve, K. (2024). Pitfalls and potentials in simulation studies: Questionable research practices in comparative simulation studies allow for spurious claims of superiority of any method. Biometrical Journal , 66 (1), 2200091.
Rabe-Hesketh, S., & Skrondal, A. (2022). Multilevel and longitudinal modeling using stata . STATA press.
Raudenbush, S. W., & Bryk, A. S. (2002). Hierarchical linear models: Applications and data analysis methods . Sage."
"2401.07294v4.pdf","(cd.)
Raudenbush, S. W., & Liu, X. (2000). Statistical power and optimal design for multisite randomized trials. Psychological Methods , 5 (2), 199.
Riley, R. D., Ensor, J., Hattle, M., Papadimitropoulou, K., & Morris, T. P. (2023). Two-stage or not two-stage? that is the question for ipd meta-analysis projects. Research synthesis methods , 14 (6), 903-910.
Robert, C. P., Casella, G., & Casella, G. (2010). Introducing monte carlo methods with r (Vol. 18). Springer.
Rosen, S. L., Saunders, C. P., & Guharay, S. K. (2015). A structured approach for rapidly mapping multilevel system measures via simulation metamodeling. Systems Engineering , 18 (1), 87-101.
Sales, A., Prihar, E., Heffernan, N., & Pane, J. F. (2021). The effect of an intelligent tutor on performance on specific posttest problems. International Educational Data Mining Society ."
"2401.07294v4.pdf","(cd.)
Schielzeth, H., Dingemanse, N. J., Nakagawa, S., Westneat, D. F., Allegue, H., Teplitsky, C., R´ eale, D., Dochtermann, N. A., Garamszegi, L. Z., & Araya-Ajoy, Y. G. (2020). Robustness of linear mixed-effects models to violations of distributional assumptions. Methods in Ecology and Evolution , 11 (9), 1141-1152."
"2401.07294v4.pdf","These results suggest that the estimated SEs of each metamodel are capturing a different type of uncertainty in our parameter estimates (Raudenbush & Liu, 2000, p. 201). If we are most interested in the generalizability of our results to other similar but untested simulation conditions, the random slopes MLMM provides the level of uncertainty consistent with this goal because in most simulation studies, we intend to demonstrate conclusions that we cannot prove analytically but expect or intend to hold in settings similar to the conditions tested. Thus, the random slopes MLMM is likely the most appropriate choice from both

a statistical and substantive perspective. Even when there is no natural superpopulation of data-generating conditions, assessing variability across the surface defined by the tested simulation conditions nonetheless provides a useful metric for interpreting the results."
"2401.07294v4.pdf","We can test the calibration of the metamodel SEs by bootstrapping from our simulation results. We have three choices of which units to bootstrap: the 72,900 individual model results (a generally invalid approach because it violates independence), the 24,300 simulated data sets, or the 243 simulation conditions. We test all three of these approaches. Results show that the estimated SE provided by each metamodel essentially captures a different source of uncertainty (see Abadie et al., 2020). That is, when we bootstrap the 72,900 model results, we get SEs that match those of the OLS metamodel; when we block bootstrap the 24,300 simulated datasets, we get SEs that match those of the random intercepts MLMM; when we block bootstrap the 243 simulation conditions, we get SEs that match those of the random slopes MLMM."
"2401.07294v4.pdf","Appendices

A Additional Comments on Metamodel Standard Errors

When analyzing the individual simulation results, consider the SEs provided by an OLS model with no clustering adjustments, a 3-level model with random intercepts for simulation condition, and a 3-level model with random slopes for estimator across simulation condition. While we have theoretical reasons to prefer the three-level random slopes approach, it is instructive to consider what the SEs of the OLS and random intercepts metamodels are capturing."
"2401.07294v4.pdf","Shonkwiler, R. W., & Mendivil, F. (2009). Explorations in monte carlo methods . Springer Science & Business Media.
Siepe, B. S., Bartoˇ s, F., Morris, T. P., Boulesteix, A.-L., Heck, D. W., & Pawel, S. (2024). Simulation studies for methodological research in psychology: A standardized template for planning, preregistration, and reporting. Psychological Methods .
Singer, J. D., & Willett, J. B. (2003). Applied longitudinal data analysis: Modeling change and event occurrence . Oxford university press.
Skrondal, A. (2000). Design and analysis of monte carlo experiments: Attacking the conventional wisdom. Multivariate Behavioral Research , 35 (2), 137-167.
Stewart, G. B., Altman, D. G., Askie, L. M., Duley, L., Simmonds, M. C., & Stewart, L. A. (2012). Statistical analysis of individual participant data meta-analyses: A comparison of methods and recommendations for practice. PLoS One .
Thomopoulos, N. T. (2012). Essentials of monte carlo simulation: Statistical methods for building simulation models . Springer Science & Business Media.
Wasserman, L. (2000). Bayesian model selection and model averaging. Journal of Mathematical Psychology , 44 (1), 92-107.
Zeileis, A., K¨ oll, S., & Graham, N. (2020). Various versatile variances: An object-oriented implementation of clustered covariances in R. Journal of Statistical Software , 95 , 1-36."
"2401.07294v4.pdf","Because the simulation design and data-generating process is known and fully controlled by the researcher, metamodel regression coefficients have a straightforward causal interpretation, reflecting the average change in the outcome caused by a unit change in the predictor. As such, the metamodel allows the researcher to test specific hypotheses about how simulation conditions affect the outcome of interest, such as how larger sample sizes may reduce bias, or how including random slopes in an estimator may increase the estimated SEs of an associated main effect. The metamodel therefore provides a powerful tool to summarize

and interpret simulation results (Friedman & Pressman, 1988; Rosen et al., 2015; Skrondal, 2000). Furthermore, metamodels need not be limited to classical regression approaches; recent reviews have highlighted the potential affordances of machine learning approaches as new frontier to improve the accuracy of metamodels in representing complex simulation conditions (do Amaral et al., 2022, pp. 152-153)."
"2401.07294v4.pdf","1.1 The Simulation Metamodel

One approach to address some of the challenges listed above is to use a regression model, regressing various metrics of estimator performance onto the simulation factors. Regression modeling of simulation results is called a 'metamodel' because the outcome in the regression is itself a result generated from another statistical model (Friedman & Friedman, 1985; Kleijnen, 1981). The metamodel can summarize the average influence of the simulation condition predictors (e.g., sample size) on outcomes of interest (e.g., bias, power, etc.) in complex factorial simulation designs with many combinations of simulation conditions. In a metamodel with main effects only, the coefficients for the estimator in the metamodel average over the other simulation conditions and reveal if, on average, one estimator performs better or worse than another. Interaction effects between estimator and simulation condition allow differences in performance between estimators to depend on simulation features."
"2401.07294v4.pdf","In complex simulations comparing multiple estimators across many varying simulation factors, it can be difficult to present and interpret the simulation results to understand overall trends, such as when one estimator has lower bias or greater precision than another estimator. When comparing estimator performance, typical practice is to show performance of each estimator in a table and compare the results by eye, or possibly plot performance in a figure, and again compare by eye (Miratrix & Pustejovsky, 2023, Chapter 13). Sometimes simulation results report Monte Carlo uncertainty (Papadopoulos & Yeung, 2001), but Monte Carlo

standard errors provide uncertainty for the individual performance of an estimator in a given scenario (or aggregated across scenarios), and do not provide uncertainty on any estimated differences between estimators. Two recent reviews show that providing any uncertainty estimates associated with simulation findings is rare, in that only 23% (Siepe et al., 2024) and 7% (Morris et al., 2019) of the simulation studies examined in each review reported Monte Carlo standard errors. As a result, the utility of simulation studies in improving statistical practice remains unnecessarily limited (Siepe et al., 2024)."
"2401.07294v4.pdf","As an example, consider the task of evaluating the properties of different estimators applied to same data set, such as the use of fixed versus random effects estimators in multisite randomized controlled trials (RCTs) (Miratrix et al., 2021). The general approach to such a simulation study includes creating a set of simulation conditions to generate each data set (e.g., sample size, average treatment effect size, degree of treatment heterogeneity), a method for generating data given the conditions, a set of models to be applied to each data set (e.g., fixed effects, random intercepts, random slopes), and fitting each model to each simulated data set across many replications. Results such as the point estimate, its estimated standard error (SE), and its difference from the data-generating value (i.e., error) are then combined into a single data set for further analysis."
"2401.07294v4.pdf","1 Introduction

Monte Carlo simulation is an essential method in the toolkit of the modern statistician. From its origins in the 1940s, simulation has been applied to countless theoretical and empirical problems, and provides a particularly powerful tool when analytic solutions are not tractable, such as power analysis for complex designs or comparisons of the finite sample statistical properties of novel estimators or methods. As such, simulation has been applied in a wide range of fields, from mathematical statistics to statistical physics to causal inference in the social sciences (e.g., Binder, 2022; Bonate, 2001; Harrison, 2010; Hunter et al., 2024; Lee et al., 2024; Miratrix, 2022; Miratrix et al., 2021; Mooney, 1997)."
"2401.07294v4.pdf","Author Note: No financial support was received for the writing of this article. The authors report no conflicts of interest. The code for this article is available as an online supplemental file (https://researchbox.org/2429&PEER REVIEW passcode=LJICWO). The authors wish to thank Zach Himmelsbach, Ben Domingue, and seminar participants at Stanford University for their helpful comments on drafts of this paper.

Author Contributions: Conceptualization: JG, LM; Methodology: JG, LM; Software: JG; Formal Analysis: JG; Writing-original draft preparation: JG; Writing-review and editing: JG, LM"
"2401.07294v4.pdf","Multilevel Metamodels: Enhancing Inference, Interpretability, and Generalizability in Monte Carlo Simulation Studies

Joshua B. Gilbert 1 and Luke W. Miratrix 1

1 Harvard University Graduate School of Education

Abstract

Metamodels, or the regression analysis of Monte Carlo simulation results, provide a powerful tool to summarize simulation findings. However, an underutilized approach is the multilevel metamodel (MLMM) that accounts for the dependent data structure that arises from fitting multiple models to the same simulated data set. In this study, we articulate the theoretical rationale for the MLMM and illustrate how it can improve the interpretability of simulation results, better account for complex simulation designs, and provide new insights into the generalizability of simulation findings.

Keywords : Monte Carlo simulation, metamodels, multilevel models, generalizability

Corresponding author: joshua gilbert@g.harvard.edu"
"2401.07294v4.pdf","Table 1: Content Analysis of Monte Carlo Simulation Textbooks

Textbook | Author, Year | Comparing Statistical Methods | Regression/ Meta- model | Multilevel Meta- model
The Simulation Metamodel | Friedman, 2012 | Yes | Yes | No
Designing Monte Carlo Sim- ulations in R | Miratrix and Pustejovsky, 2023 | Yes | Yes | No
Essentials of Monte Carlo Simulation: Statistical Meth- ods for Building Simulation Models | Thomopoulos, 2012 | Yes | No | No
Explorations in Monte Carlo Methods | Shonkwiler and Mendivil, 2009 | Yes | No | No
Monte Carlo Simulation and Resampling Methods for So- cial Science | Carsey and Harden, 2013 | Yes | No | No
Exploring Monte Carlo Methods | Dunn and Shultis, 2022 | No | No | No
An Introduction to Sequen- tial Monte Carlo | Chopin, Papaspiliopoulos, et al., 2020 | Yes | No | No
Introducing Monte Carlo Methods with R | Robert et al., 2010 | No | No | No
Handbook of Monte Carlo Methods | Kroese et al., 2013 | Yes | No | No
Monte-Carlo simulation- based statistical modeling | Chen and Chen, 2017 | Yes | No | No

(Friedman, 2012), but makes no mention of the MLMM, another briefly mentions only OLS metamodeling (Miratrix & Pustejovsky, 2023, Chapter 13), and the remaining eight mention neither strategy."
"2401.07294v4.pdf","1 A search of the literature for terms such as 'Multilevel Monte Carlo' does yield results, but these refer to 'performing most simulations with low accuracy at a correspondingly low cost, with relatively few simulations being performed at high accuracy and a high cost' (Giles, 2015, p. 259) rather than the random effects models explored in this study."
